Sample	Chao1	Simpson	Shannon	Pielou_e	Observed_species	Faith_pd	Group
XP_68	3107.6	0.99364	8.8456	0.782201	2536.5	329.542	XP
XP_70	2616.26	0.973562	7.47436	0.680332	2028.7	187.733	XP
XP_78	566.818	0.933611	5.10986	0.572229	487.7	62.4269	XP
XP_8	2391.8	0.977467	8.13923	0.736082	2131.3	257.454	XP
XP_85	607.992	0.938051	5.20603	0.576858	520.9	114.375	XP
XP_87	2649.09	0.973497	7.23305	0.650715	2218.8	146.771	XP
XP_89	613.381	0.940201	5.22656	0.579227	520.4	70.8807	XP
XP_94	1535.75	0.963326	6.77625	0.649591	1381.1	128.417	XP
XP_96	2592.9	0.989439	8.47672	0.761604	2241.3	222.907	XP
XP_98	3225.71	0.976972	7.87217	0.692585	2640.1	264.459	XP
XP_99	1170.31	0.901332	4.81545	0.488907	922.6	98.2308	XP
YT_100	1808.36	0.988593	7.92358	0.747466	1552.8	158.516	YT
YT_101	1576.05	0.97994	7.66608	0.73285	1409.2	139.419	YT
YT_10	1728.89	0.986022	8.06021	0.758383	1582.7	222.512	YT
YT_1	1028.08	0.906963	5.97862	0.603421	960.7	198.785	YT
YT_11	3630.14	0.992139	8.81683	0.771401	2758.5	269.679	YT
YT_119	2327.61	0.989616	8.37774	0.764806	1983.9	187.547	YT
YT_121	2089.22	0.960222	7.57394	0.702213	1765.5	179.642	YT
YT_26	2338.1	0.991118	8.32638	0.762864	1930.4	183.864	YT
YT_37	1015.61	0.950128	6.0153	0.613764	891.9	144.42	YT
YT_44	3164.42	0.992374	8.70045	0.772357	2460.7	249.561	YT
YT_45	1915.45	0.988615	7.98437	0.74737	1644.4	210.582	YT
YT_46	1834.8	0.990298	8.09968	0.760491	1607.5	152.92	YT
YT_48	4320.16	0.993625	9.10018	0.778109	3316.1	337.95	YT
YT_50	4845.13	0.994605	9.29413	0.787227	3581.1	265.294	YT
YT_5	3542.83	0.992604	8.71176	0.767379	2615.1	217.059	YT
YT_55	3030.2	0.992126	8.62941	0.771145	2337	205.864	YT
YT_58	3241.88	0.991187	8.69804	0.768107	2563.7	225.416	YT
YT_61	3638.34	0.991434	8.84525	0.773241	2776.9	245.318	YT
YT_66	1850.71	0.983647	7.66871	0.719551	1615.4	175.13	YT
YT_68	2159.82	0.989706	8.00331	0.745506	1704.9	150.491	YT
YT_69	3729.09	0.989381	8.57739	0.752597	2696.9	223.151	YT
YT_70	2544.69	0.988693	7.98847	0.732467	1919.2	174.788	YT
YT_74	463.54	0.564461	2.96496	0.33941	426.3	112.08	YT
YT_75	2791.18	0.987851	8.42389	0.758807	2197.4	234.323	YT
YT_89	492.527	0.933033	5.13548	0.586346	433.1	114.843	YT
YT_90	2913.01	0.987591	8.11967	0.732149	2180.2	249.127	YT
YT_93	2582.45	0.984907	8.06926	0.736171	1993.6	181.017	YT
YT_94	1966.77	0.960367	7.01337	0.660864	1565.6	147.22	YT
YT_96	3346.73	0.973921	7.78852	0.691469	2458.9	185.821	YT
YT_97	2479.58	0.98754	8.00491	0.736296	1874	169.101	YT
YT_99	2258.02	0.991276	8.34854	0.768213	1868.3	173.966	YT
